step,t,phase,phaseIndex,yTop,compression,volume,volumeRatio,rhoMean,rhoRatio,Pkin,Pwall,PexcessWallKinetic,PprojectionWorkRaw,PprojectionWorkThermostatted,wallImpulseTopY,wallHitsTop,dVInterval,dVdtMean,projectionEnergyRaw,projectionEnergyThermostatted,kBTCell,stdN,lowKProxy,rmsDivParticleAfter,rmsMassFluxResidual,rmsMassFluxParticleAfter,meanVy,PkinSmooth,PwallSmooth,PexcessWallKineticSmooth,PprojectionWorkRawSmooth,PprojectionWorkThermostattedSmooth
0,0,initial,0,1,0,2,1,5120,1,5056.68481175409,NaN,NaN,NaN,NaN,0,0,0,NaN,0,0,1.04554032416226,0,0,NaN,NaN,NaN,9.71445146547012e-18,5366.38728776828,4940.91625855658,-456.441276813118,-1558.97527670555,14.9840562650975
100,0.1,compression,1,0.99975,0.000249999999999972,1.9995,0.99975,5121.28032008002,1.00025006251563,5391.12336283742,5164.28413106565,-226.839231771767,-1615.14903057555,73.9361419074559,1032.85682621313,426,-0.000499999999999945,-0.00499999999999945,-0.807574515287685,0.0369680709537239,1.03619748671436,2.77675562841977,0.000135422607954717,0.0162842636605217,0.00677550349310863,0.279415132878768,-0.00685866853266344,5369.59005862091,4983.38583806801,-414.650152086247,-1554.68709554232,15.6406764386612
200,0.2,compression,1,0.9995,0.000499999999999945,1.999,0.9995,5122.56128064032,1.00050025012506,5392.54577198552,5220.21238563852,-172.333386347003,-1540.36660634029,11.9118749978613,1044.0424771277,461,-0.000499999999999945,-0.00499999999999945,-0.770183303170059,0.00595593749892998,1.03741596219906,3.06485666543278,0.000260216727200778,0.0220754900504289,0.00594985107960765,0.473193851295018,-0.00713260445089377,5372.40821565749,4894.65837237403,-504.060126942078,-1553.66437337137,14.2617546875042
300,0.3,compression,1,0.99925,0.000750000000000028,1.9985,0.99925,5123.84288216162,1.00075056292219,5393.91768898073,4883.2956097584,-510.622079222331,-1599.11136307653,10.3740357327294,976.65912195168,421,-0.000500000000000167,-0.00500000000000167,-0.79955568153853,0.00518701786636644,1.03729300811181,3.13992034999382,0.000226525059348882,0.0319646344787872,0.00910659691425234,0.592227461540055,0.0114835506644798,5374.91952333898,4796.05385962267,-603.345256915149,-1553.09308011458,14.0569094096147
400,0.4,compression,1,0.999,0.001,1.998,0.999,5125.12512512513,1.001001001001,5395.35620566204,5338.62322278509,-56.7329828769471,-1542.86421073647,8.41507486492436,1067.72464455702,435,-0.000499999999999945,-0.00499999999999945,-0.771432105368151,0.00420753743246172,1.03899176314635,3.42032602787897,0.000184477100959327,0.0227229924151085,0.000530000608322,0.322733684069323,-0.00541101249283275,5377.18479550248,4773.72828343825,-626.349368046259,-1556.13052004398,13.6713138546207
500,0.5,compression,1,0.99875,0.00124999999999997,1.9975,0.99875,5126.40801001252,1.00125156445557,5396.72532337756,4884.82789596668,-511.897427410875,-1506.34957257511,17.1562028132289,976.965579193337,431,-0.000499999999999945,-0.00499999999999945,-0.753174786287473,0.00857810140661353,1.04226721868221,3.47481855528777,0.000136827980477709,0.0173973698366554,0.00158958513031915,0.355706882821718,-0.00426661139962489,5379.25208857422,4750.12414507681,-650.632428618744,-1555.98146574604,13.1539828936385
600,0.6,compression,1,0.9985,0.00150000000000006,1.997,0.9985,5127.69153730596,1.00150225338007,5398.06418250686,4868.68047830678,-529.383704200082,-1584.03027883709,3.88724111453746,973.736095661356,426,-0.000500000000000167,-0.00500000000000167,-0.792015139418807,0.00194362055726938,1.03508482418215,3.49391419459855,6.42569032571227e-05,0.0208435718837208,0.00132789506139773,0.299353486197542,-0.0122837325987452,5381.15566796242,4785.22166362625,-616.213432849193,-1558.54701585385,13.2087872631655
700,0.7,compression,1,0.99825,0.00175000000000003,1.9965,0.99825,5128.9757074881,1.00175306786877,5399.42347860144,3945.22623129577,-1454.19724730566,-1554.26234183204,19.2057151909427,789.045246259155,368,-0.000499999999999945,-0.00499999999999945,-0.777131170915933,0.0096028575954703,1.0429653611893,3.44711229440736,7.13965746177106e-05,0.0169682896101267,0.00331226622943645,0.334857156132194,0.0134205743729743,5382.92176599445,4851.80000914071,-550.3121659267,-1560.91017324085,12.6773165138213
800,0.8,compression,1,0.998,0.002,1.996,0.998,5130.26052104208,1.00200400801603,5400.74903464733,5758.08128354908,357.332248901746,-1590.34793143764,-3.62784001564926,1151.61625670982,492,-0.000499999999999945,-0.00499999999999945,-0.795173965718732,-0.00181392000782443,1.03343337296084,3.39275156906505,0.000130370515522743,0.0153509867178293,0.00104921989131938,0.312777031575479,-0.00119930016211082,5384.57776419907,4862.43728233747,-540.356756997437,-1560.09703806043,13.0990322910059
900,0.9,compression,1,0.99775,0.00224999999999997,1.9955,0.99775,5131.54597845152,1.00225507391631,5402.16090323991,4732.5757002293,-669.585203010606,-1510.08502391493,3.24878561653011,946.515140045861,404,-0.000499999999999945,-0.00499999999999945,-0.755042511957383,0.00162439280826487,1.03137225934765,3.54727645587472,0.00018329206654905,0.0209711286501565,0.00186411045444236,0.356385894054166,-0.0104002115076029,5386.13208136867,4883.82334741575,-519.648063932635,-1557.83727317589,12.8314222488889
1000,1,compression,1,0.9975,0.00249999999999995,1.995,0.9975,5132.8320802005,1.00250626566416,5403.50940185822,4613.35564697057,-790.153754887652,-1547.18640772983,5.33333042841436,922.671129394115,406,-0.000499999999999945,-0.00499999999999945,-0.773593203864831,0.00266666521420689,1.03346389651417,3.57913063819199,0.000146684821903446,0.0323212177421759,0.000745143155559276,0.468433002624939,0.00830660588619918,5387.60354295644,4878.71128340852,-525.438196108035,-1559.16255968212,12.3666421946265
